%	V.id	R.x	R.y	R.z
1	8.728595e+02	1.069775e+03	7.746353e+02
2	8.745304e+02	1.070947e+03	7.737570e+02
2	8.728704e+02	1.077614e+03	7.691692e+02
1	8.760208e+02	1.077470e+03	7.670612e+02
1	8.759895e+02	1.080148e+03	7.640545e+02
1	8.758948e+02	1.084487e+03	7.615369e+02
1	8.816729e+02	1.070421e+03	7.697526e+02
2	8.710559e+02	1.079525e+03	7.692836e+02
2	8.716371e+02	1.083036e+03	7.668401e+02
1	8.727590e+02	1.085792e+03	7.644701e+02
1	8.691344e+02	1.079923e+03	7.698427e+02
2	8.710213e+02	1.070610e+03	7.738973e+02
2	8.685080e+02	1.072358e+03	7.719693e+02
2	8.607449e+02	1.046802e+03	7.639380e+02
1	8.619684e+02	1.042450e+03	7.671032e+02
1	8.583718e+02	1.056342e+03	7.489055e+02
2	8.590664e+02	1.056916e+03	7.461099e+02
1	8.625796e+02	1.064874e+03	7.419123e+02
1	8.695594e+02	1.075296e+03	7.439316e+02
2	8.593914e+02	1.054250e+03	7.438138e+02
2	8.559663e+02	1.061254e+03	7.511581e+02
2	8.527136e+02	1.035219e+03	7.564141e+02
1	8.512959e+02	1.034666e+03	7.574771e+02
1	8.513212e+02	1.028875e+03	7.570173e+02
1	8.539922e+02	1.025671e+03	7.615829e+02
2	8.541521e+02	1.024836e+03	7.636556e+02
1	8.545400e+02	1.026175e+03	7.724454e+02
1	8.525758e+02	1.026342e+03	7.771204e+02
2	8.524396e+02	1.026599e+03	7.786952e+02
2	8.523343e+02	1.030018e+03	7.810015e+02
2	8.477862e+02	1.032593e+03	7.811735e+02
1	8.454779e+02	1.032712e+03	7.802766e+02
1	8.543763e+02	1.031049e+03	7.829022e+02
1	8.542150e+02	1.033140e+03	7.852657e+02
1	8.553513e+02	1.034867e+03	7.847827e+02
2	8.557716e+02	1.035679e+03	7.861206e+02
1	8.574999e+02	1.030782e+03	7.820805e+02
2	8.507819e+02	1.024131e+03	7.790872e+02
1	8.506816e+02	1.031061e+03	7.916440e+02
2	8.516881e+02	1.030708e+03	7.935721e+02
2	8.574041e+02	1.032474e+03	7.917202e+02
2	8.598481e+02	1.034159e+03	7.891475e+02
2	8.494093e+02	1.021492e+03	7.784954e+02
1	8.468400e+02	1.020942e+03	7.776672e+02
2	8.452657e+02	1.018904e+03	7.785304e+02
1	8.608791e+02	1.027937e+03	7.744780e+02
2	8.671004e+02	1.025727e+03	7.743572e+02
2	8.554574e+02	1.023400e+03	7.640689e+02
1	8.558247e+02	1.019273e+03	7.645713e+02
2	8.558254e+02	1.017484e+03	7.639130e+02
1	8.573899e+02	1.016505e+03	7.644834e+02
2	8.579300e+02	1.014787e+03	7.638633e+02
2	8.573906e+02	1.011289e+03	7.664295e+02
1	8.608767e+02	1.008320e+03	7.666910e+02
1	8.558412e+02	1.010296e+03	7.669184e+02
1	8.527280e+02	1.010546e+03	7.668031e+02
1	8.598348e+02	1.014509e+03	7.622320e+02
2	8.447371e+02	1.025674e+03	7.440390e+02
1	8.435978e+02	1.026212e+03	7.466748e+02
1	8.403969e+02	1.024364e+03	7.491290e+02
2	8.420025e+02	1.027254e+03	7.413460e+02
1	8.408615e+02	1.030151e+03	7.389863e+02
2	8.462905e+02	1.021443e+03	7.292584e+02
1	8.419969e+02	1.014866e+03	7.318895e+02
2	8.346481e+02	1.006688e+03	7.340643e+02
1	8.324358e+02	1.002243e+03	7.369081e+02
1	8.297755e+02	1.000680e+03	7.394896e+02
2	8.406282e+02	1.001722e+03	7.232991e+02
1	8.436130e+02	9.997829e+02	7.268497e+02
2	8.477710e+02	9.969604e+02	7.281703e+02
1	8.477418e+02	9.969175e+02	7.365452e+02
2	8.515195e+02	9.953445e+02	7.412814e+02
1	8.537551e+02	9.939315e+02	7.415949e+02
1	8.548267e+02	9.912042e+02	7.267277e+02
2	8.586676e+02	9.893466e+02	7.285712e+02
1	8.586044e+02	9.878482e+02	7.290373e+02
1	8.597313e+02	9.830659e+02	7.316290e+02
2	8.618773e+02	9.896307e+02	7.291812e+02
1	8.364426e+02	1.005519e+03	7.190626e+02
2	8.331366e+02	1.006480e+03	7.210920e+02
1	8.312917e+02	1.006831e+03	7.219363e+02
1	8.341821e+02	9.979504e+02	7.091075e+02
2	8.297578e+02	9.955745e+02	6.959747e+02
1	8.301627e+02	1.000461e+03	6.938724e+02
2	8.310979e+02	1.002218e+03	6.937665e+02
1	8.308699e+02	1.002868e+03	6.946420e+02
2	8.333385e+02	1.006358e+03	6.910639e+02
1	8.235135e+02	9.879146e+02	6.918247e+02
1	8.247135e+02	9.879970e+02	6.844272e+02
1	8.170718e+02	9.953198e+02	6.791234e+02
1	8.158285e+02	9.768229e+02	6.691053e+02
2	8.160503e+02	9.767955e+02	6.702604e+02
2	8.097372e+02	9.766631e+02	6.709872e+02
1	8.051652e+02	9.793939e+02	6.689935e+02
2	8.038129e+02	9.819190e+02	6.659887e+02
1	8.021591e+02	9.811990e+02	6.664865e+02
2	8.002317e+02	9.819863e+02	6.613716e+02
1	8.051807e+02	9.852742e+02	6.635448e+02
1	7.834929e+02	9.804033e+02	6.668888e+02
2	7.833100e+02	9.848741e+02	6.603843e+02
1	7.832540e+02	9.851046e+02	6.589421e+02
2	8.066152e+02	9.744954e+02	6.734639e+02
1	8.056554e+02	9.743849e+02	6.792523e+02
1	8.035867e+02	9.762479e+02	6.839578e+02
1	8.017389e+02	9.753402e+02	6.862529e+02
2	8.033905e+02	9.715526e+02	6.708704e+02
1	8.156955e+02	9.790010e+02	6.761080e+02
2	8.203603e+02	9.739298e+02	6.658155e+02
1	8.103287e+02	9.712451e+02	6.590532e+02
2	8.081846e+02	9.707766e+02	6.582343e+02
1	8.082434e+02	9.705879e+02	6.572886e+02
1	8.069477e+02	9.731470e+02	6.557394e+02
2	8.241653e+02	9.580532e+02	6.504385e+02
1	8.219200e+02	9.604605e+02	6.532967e+02
2	8.297347e+02	9.701200e+02	6.383520e+02
2	8.313607e+02	9.469590e+02	6.283113e+02
1	8.313748e+02	9.517315e+02	6.262950e+02
1	8.330508e+02	9.422721e+02	6.238566e+02
1	8.389918e+02	9.474305e+02	6.238706e+02
1	8.450467e+02	9.440728e+02	6.163890e+02
1	8.326787e+02	9.409508e+02	6.214973e+02
2	8.269701e+02	9.420382e+02	6.155349e+02
2	8.341216e+02	9.338690e+02	6.162004e+02
1	8.331082e+02	9.330001e+02	6.167990e+02
2	8.329231e+02	9.333612e+02	6.181170e+02
2	8.300400e+02	9.195425e+02	6.027364e+02
1	8.347019e+02	9.177753e+02	6.086435e+02
2	8.238548e+02	9.188515e+02	6.029264e+02
1	8.412504e+02	9.153992e+02	5.983930e+02
1	8.435053e+02	9.180342e+02	5.885047e+02
1	8.450529e+02	9.209468e+02	5.888150e+02
1	8.588288e+02	8.851131e+02	5.605751e+02
2	8.651454e+02	8.825227e+02	5.680215e+02
1	8.881996e+02	8.835446e+02	6.086668e+02
2	8.911700e+02	8.835516e+02	6.156637e+02
2	8.783013e+02	8.819031e+02	6.330732e+02
1	8.742477e+02	8.807614e+02	6.336643e+02
1	8.698408e+02	8.783441e+02	6.340496e+02
2	8.680007e+02	8.737612e+02	6.325582e+02
1	8.691190e+02	8.706114e+02	6.316445e+02
1	8.695433e+02	8.621839e+02	6.290531e+02
1	8.687427e+02	8.556480e+02	6.262772e+02
2	8.714755e+02	8.544694e+02	6.258496e+02
2	8.682184e+02	8.542921e+02	6.253322e+02
1	8.671158e+02	8.538589e+02	6.259507e+02
1	8.654692e+02	8.504371e+02	6.257327e+02
1	8.543037e+02	8.463858e+02	6.239702e+02
1	8.466797e+02	8.384317e+02	6.245374e+02
1	8.419566e+02	8.352606e+02	6.243995e+02
2	8.652823e+02	8.554792e+02	6.283904e+02
1	8.649452e+02	8.539859e+02	6.296126e+02
1	8.681508e+02	8.542676e+02	6.238441e+02
2	8.734487e+02	8.535237e+02	6.181928e+02
1	8.757753e+02	8.612958e+02	6.313296e+02
1	8.774610e+02	8.683159e+02	6.312113e+02
2	8.654329e+02	8.738099e+02	6.328777e+02
1	8.633183e+02	8.736836e+02	6.340495e+02
1	8.604073e+02	8.746604e+02	6.363804e+02
2	8.597708e+02	8.801708e+02	6.384526e+02
1	8.570197e+02	8.762194e+02	6.412876e+02
2	8.508582e+02	8.640712e+02	6.577750e+02
1	8.532516e+02	8.593397e+02	6.593537e+02
2	8.543070e+02	8.461608e+02	6.659141e+02
2	8.588037e+02	8.457843e+02	6.688442e+02
1	8.766220e+02	8.356131e+02	6.690056e+02
1	8.783109e+02	8.359164e+02	6.692430e+02
1	8.880792e+02	8.356045e+02	6.589689e+02
2	8.896967e+02	8.347986e+02	6.583721e+02
1	8.867984e+02	8.332106e+02	6.542691e+02
2	8.928903e+02	8.343462e+02	6.581281e+02
1	8.935765e+02	8.355241e+02	6.585622e+02
2	8.524119e+02	8.438421e+02	6.654917e+02
1	8.518526e+02	8.426394e+02	6.665725e+02
2	8.513363e+02	8.431097e+02	6.680332e+02
1	8.508676e+02	8.406660e+02	6.685531e+02
1	8.526920e+02	8.437727e+02	6.643718e+02
2	8.496369e+02	8.418474e+02	6.634108e+02
1	8.489759e+02	8.646187e+02	6.588803e+02
2	8.480216e+02	8.670210e+02	6.608320e+02
1	8.406513e+02	8.669206e+02	6.667008e+02
2	8.408240e+02	8.667210e+02	6.683768e+02
2	8.433684e+02	8.653478e+02	6.606615e+02
2	8.421765e+02	8.671144e+02	6.606858e+02
1	8.539150e+02	8.766726e+02	6.409256e+02
1	8.586028e+02	8.816162e+02	6.388404e+02
1	8.569515e+02	8.838558e+02	6.386501e+02
1	8.548291e+02	8.852022e+02	6.369822e+02
1	8.533294e+02	8.880864e+02	6.362781e+02
1	8.511408e+02	8.903205e+02	6.369671e+02
2	8.499744e+02	8.930161e+02	6.383355e+02
2	8.508267e+02	8.960172e+02	6.379216e+02
1	8.495205e+02	8.970736e+02	6.387246e+02
1	8.494145e+02	9.007802e+02	6.413104e+02
2	8.498093e+02	9.006618e+02	6.433386e+02
