%	I.id	Rstop.x	Rstop.y	Rstop.z
1	8.672375e+02	1.019452e+03	7.677421e+02
1	8.555879e+02	1.017938e+03	7.649836e+02
2	8.711376e+02	1.020189e+03	7.706028e+02
1	8.554557e+02	1.024461e+03	7.607155e+02
1	8.344577e+02	1.026391e+03	7.586235e+02
1	8.459295e+02	1.026133e+03	7.516514e+02
1	8.402899e+02	1.024512e+03	7.491776e+02
1	8.393216e+02	1.019113e+03	7.507018e+02
2	8.376759e+02	1.025262e+03	7.394004e+02
2	8.418245e+02	1.031544e+03	7.366357e+02
1	8.360546e+02	1.032030e+03	7.339677e+02
1	8.500236e+02	1.025590e+03	7.421643e+02
2	8.463090e+02	1.021618e+03	7.293839e+02
2	8.484664e+02	1.022663e+03	7.262982e+02
1	8.420098e+02	1.014843e+03	7.318974e+02
1	8.390231e+02	1.014295e+03	7.341597e+02
2	8.472736e+02	1.017557e+03	7.260941e+02
1	8.325717e+02	9.981927e+02	7.419010e+02
1	8.268114e+02	1.002221e+03	7.382382e+02
1	8.317091e+02	9.955764e+02	7.419091e+02
2	8.340693e+02	1.008479e+03	7.363471e+02
2	8.491411e+02	9.938853e+02	7.444138e+02
2	8.580240e+02	9.955456e+02	7.425767e+02
1	8.563020e+02	9.959552e+02	7.398091e+02
1	8.421555e+02	9.970140e+02	7.442001e+02
2	8.586081e+02	9.878396e+02	7.290092e+02
1	8.626714e+02	9.795441e+02	7.300179e+02
1	8.561469e+02	9.821416e+02	7.359010e+02
2	8.642032e+02	9.905512e+02	7.272972e+02
2	8.650744e+02	9.866427e+02	7.295015e+02
1	8.589009e+02	9.876892e+02	7.262402e+02
1	8.372807e+02	9.974219e+02	7.323008e+02
2	8.379633e+02	9.942665e+02	7.225612e+02
2	8.321950e+02	1.009287e+03	7.172518e+02
1	8.350144e+02	1.004207e+03	7.238536e+02
2	8.283940e+02	1.007515e+03	7.220088e+02
1	8.271339e+02	1.009188e+03	7.214327e+02
2	8.350997e+02	9.944554e+02	7.112227e+02
1	8.327893e+02	9.942269e+02	7.094986e+02
2	8.311799e+02	1.001222e+03	7.033028e+02
2	8.296115e+02	9.955523e+02	6.959801e+02
2	8.319998e+02	1.003049e+03	6.960942e+02
1	8.292551e+02	1.005742e+03	6.961488e+02
2	8.295810e+02	1.010302e+03	6.897849e+02
2	8.357687e+02	1.008869e+03	6.882102e+02
1	8.297280e+02	1.007461e+03	6.778041e+02
1	8.211807e+02	9.891189e+02	6.932123e+02
1	8.263670e+02	9.817695e+02	6.923858e+02
1	8.150899e+02	1.009571e+03	6.800168e+02
1	8.031799e+02	9.962593e+02	6.773147e+02
1	8.281512e+02	9.940800e+02	6.885842e+02
1	8.313095e+02	9.850455e+02	6.766285e+02
2	8.002564e+02	9.817489e+02	6.613963e+02
2	7.966211e+02	9.849355e+02	6.549188e+02
1	7.952523e+02	9.795515e+02	6.678491e+02
2	8.051415e+02	9.854176e+02	6.637698e+02
1	8.050864e+02	9.884206e+02	6.615142e+02
1	7.775929e+02	9.798543e+02	6.686079e+02
1	7.855533e+02	9.877447e+02	6.638744e+02
2	7.834594e+02	9.851525e+02	6.589733e+02
1	7.841048e+02	9.817823e+02	6.544767e+02
2	8.037645e+02	9.812535e+02	6.868921e+02
1	8.018180e+02	9.754927e+02	6.864372e+02
1	7.954475e+02	9.746093e+02	6.866184e+02
1	8.035283e+02	9.712314e+02	6.857915e+02
2	7.991845e+02	9.724330e+02	6.714251e+02
2	8.033883e+02	9.676476e+02	6.688046e+02
2	8.157951e+02	9.786196e+02	6.784142e+02
1	8.134840e+02	9.793127e+02	6.806476e+02
1	8.144475e+02	9.766301e+02	6.604105e+02
2	8.203686e+02	9.740545e+02	6.659106e+02
2	8.071463e+02	9.744051e+02	6.511737e+02
1	8.058944e+02	9.803688e+02	6.534927e+02
1	8.080400e+02	9.689530e+02	6.559180e+02
2	8.072609e+02	9.668085e+02	6.589663e+02
1	8.101628e+02	9.692547e+02	6.571491e+02
2	8.218673e+02	9.676522e+02	6.583258e+02
1	8.228839e+02	9.611557e+02	6.552679e+02
1	8.193703e+02	9.589491e+02	6.547268e+02
2	8.233737e+02	9.517618e+02	6.502144e+02
1	8.293145e+02	9.689871e+02	6.362382e+02
2	8.285576e+02	9.749669e+02	6.401350e+02
2	8.313201e+02	9.468466e+02	6.281238e+02
2	8.302744e+02	9.553916e+02	6.257026e+02
1	8.316660e+02	9.550532e+02	6.255445e+02
1	8.386965e+02	9.360301e+02	6.255226e+02
1	8.378508e+02	9.525882e+02	6.284625e+02
1	8.423693e+02	9.426895e+02	6.174716e+02
1	8.466380e+02	9.423692e+02	6.161519e+02
1	8.310212e+02	9.464234e+02	6.184216e+02
2	8.193389e+02	9.409175e+02	6.087245e+02
1	8.343738e+02	9.454741e+02	6.259324e+02
2	8.341599e+02	9.337340e+02	6.160589e+02
2	8.341105e+02	9.291591e+02	6.239853e+02
2	8.285420e+02	9.315654e+02	6.230999e+02
1	8.285153e+02	9.331797e+02	6.153250e+02
1	8.348303e+02	9.178205e+02	6.085061e+02
1	8.369259e+02	9.169074e+02	6.110310e+02
2	8.220559e+02	9.199042e+02	6.063582e+02
2	8.184330e+02	9.165671e+02	6.018250e+02
2	8.409060e+02	9.146735e+02	5.982795e+02
1	8.404838e+02	9.115158e+02	5.985856e+02
2	8.456024e+02	9.230269e+02	5.888591e+02
1	8.499787e+02	9.238170e+02	5.943886e+02
1	8.482931e+02	9.175464e+02	5.808900e+02
2	8.430081e+02	8.983439e+02	5.766697e+02
1	8.713583e+02	8.470721e+02	6.335162e+02
2	8.772919e+02	8.534052e+02	6.228150e+02
1	8.343849e+02	8.342980e+02	6.239495e+02
1	8.377914e+02	8.323076e+02	6.133579e+02
1	8.463065e+02	8.417215e+02	6.129861e+02
1	8.509589e+02	8.475147e+02	6.270364e+02
1	8.695878e+02	8.478527e+02	6.280724e+02
1	8.655432e+02	8.544110e+02	6.308169e+02
1	8.585916e+02	8.536501e+02	6.297378e+02
2	8.633163e+02	8.616308e+02	6.288173e+02
2	8.733212e+02	8.536634e+02	6.181132e+02
2	8.741049e+02	8.501396e+02	6.138345e+02
1	8.689035e+02	8.589010e+02	6.183033e+02
1	8.757719e+02	8.611728e+02	6.314319e+02
1	8.770907e+02	8.597985e+02	6.332912e+02
1	8.774862e+02	8.684687e+02	6.312306e+02
1	8.808587e+02	8.690090e+02	6.283946e+02
2	8.639976e+02	8.734340e+02	6.301858e+02
