% Depth (A)	Q (keV/Å/cm2)	T (keV/A/cm2)
3.150000e+03	3.057071e+10	2.041319e+10
3.250000e+03	2.812847e+10	1.937495e+10
3.350000e+03	2.512240e+10	1.815969e+10
3.450000e+03	2.252671e+10	1.611397e+10
3.550000e+03	2.097239e+10	1.640551e+10
3.650000e+03	1.870636e+10	1.517543e+10
3.750000e+03	1.664545e+10	1.436052e+10
3.850000e+03	1.452661e+10	1.272615e+10
3.950000e+03	1.243167e+10	1.144162e+10
4.050000e+03	1.086119e+10	1.015904e+10
4.150000e+03	9.409836e+09	9.190866e+09
4.250000e+03	7.562381e+09	7.609965e+09
4.350000e+03	6.224911e+09	6.564224e+09
4.450000e+03	4.999711e+09	5.326612e+09
4.550000e+03	3.913376e+09	4.163755e+09
4.650000e+03	3.361959e+09	3.800325e+09
4.750000e+03	2.772525e+09	3.440602e+09
4.850000e+03	2.102895e+09	2.587005e+09
4.950000e+03	1.603438e+09	2.055603e+09
5.050000e+03	1.249895e+09	1.827856e+09
5.150000e+03	6.950386e+08	9.969793e+08
5.250000e+03	4.203943e+08	5.916621e+08
5.350000e+03	2.723094e+08	3.850214e+08
5.450000e+03	2.256612e+08	3.459873e+08
5.550000e+03	1.606235e+08	2.444766e+08
5.650000e+03	1.179501e+08	2.215879e+08
5.750000e+03	1.674786e+07	3.896382e+07
5.850000e+03	8.600418e+06	2.072338e+07
5.950000e+03	0.000000e+00	0.000000e+00
6.050000e+03	0.000000e+00	0.000000e+00
6.150000e+03	0.000000e+00	0.000000e+00
6.250000e+03	0.000000e+00	0.000000e+00
6.350000e+03	0.000000e+00	0.000000e+00
6.450000e+03	0.000000e+00	0.000000e+00
6.550000e+03	0.000000e+00	0.000000e+00
6.650000e+03	0.000000e+00	0.000000e+00
6.750000e+03	0.000000e+00	0.000000e+00
6.850000e+03	0.000000e+00	0.000000e+00
6.950000e+03	0.000000e+00	0.000000e+00
7.050000e+03	0.000000e+00	0.000000e+00
7.150000e+03	0.000000e+00	0.000000e+00
7.250000e+03	0.000000e+00	0.000000e+00
7.350000e+03	0.000000e+00	0.000000e+00
7.450000e+03	0.000000e+00	0.000000e+00
7.550000e+03	0.000000e+00	0.000000e+00
7.650000e+03	0.000000e+00	0.000000e+00
7.750000e+03	0.000000e+00	0.000000e+00
7.850000e+03	0.000000e+00	0.000000e+00
7.950000e+03	0.000000e+00	0.000000e+00
8.050000e+03	0.000000e+00	0.000000e+00
8.150000e+03	0.000000e+00	0.000000e+00
8.250000e+03	0.000000e+00	0.000000e+00
8.350000e+03	0.000000e+00	0.000000e+00
8.450000e+03	0.000000e+00	0.000000e+00
8.550000e+03	0.000000e+00	0.000000e+00
8.650000e+03	0.000000e+00	0.000000e+00
8.750000e+03	0.000000e+00	0.000000e+00
8.850000e+03	0.000000e+00	0.000000e+00
8.950000e+03	0.000000e+00	0.000000e+00
9.050000e+03	0.000000e+00	0.000000e+00
9.150000e+03	0.000000e+00	0.000000e+00
9.250000e+03	0.000000e+00	0.000000e+00
9.350000e+03	0.000000e+00	0.000000e+00
9.450000e+03	0.000000e+00	0.000000e+00
9.550000e+03	0.000000e+00	0.000000e+00
9.650000e+03	0.000000e+00	0.000000e+00
9.750000e+03	0.000000e+00	0.000000e+00
9.850000e+03	0.000000e+00	0.000000e+00
9.950000e+03	0.000000e+00	0.000000e+00
5.000000e+01	7.438123e+11	1.810570e+11
1.500000e+02	7.284466e+11	2.204385e+11
2.500000e+02	7.444098e+11	2.746845e+11
3.500000e+02	7.439946e+11	3.196129e+11
4.500000e+02	7.368358e+11	3.604014e+11
5.500000e+02	7.021736e+11	3.729197e+11
6.500000e+02	6.600798e+11	3.687158e+11
7.500000e+02	6.033996e+11	3.431834e+11
8.500000e+02	5.497762e+11	3.140432e+11
9.500000e+02	4.963308e+11	2.792669e+11
1.050000e+03	4.541431e+11	2.551811e+11
1.150000e+03	4.149684e+11	2.322834e+11
1.250000e+03	3.775213e+11	2.097855e+11
1.350000e+03	3.401182e+11	1.823029e+11
1.450000e+03	3.150734e+11	1.702856e+11
1.550000e+03	2.900143e+11	1.564694e+11
1.650000e+03	2.680242e+11	1.451819e+11
1.750000e+03	2.486015e+11	1.391743e+11
1.850000e+03	2.268394e+11	1.250740e+11
1.950000e+03	2.078106e+11	1.140434e+11
2.050000e+03	1.941383e+11	1.103769e+11
2.150000e+03	1.796370e+11	1.033156e+11
2.250000e+03	1.662323e+11	9.751203e+10
2.350000e+03	1.555866e+11	9.610501e+10
2.450000e+03	1.399165e+11	8.502950e+10
2.550000e+03	1.275673e+11	7.901847e+10
2.650000e+03	1.168515e+11	7.376870e+10
2.750000e+03	1.057633e+11	6.785603e+10
2.850000e+03	9.735771e+10	6.443580e+10
2.950000e+03	8.805719e+10	5.910053e+10
3.050000e+03	7.971284e+10	5.456068e+10
3.150000e+03	7.222264e+10	5.039890e+10
3.250000e+03	6.576563e+10	4.764625e+10
3.350000e+03	5.883545e+10	4.424394e+10
3.450000e+03	5.253440e+10	4.032868e+10
3.550000e+03	4.704674e+10	3.738377e+10
3.650000e+03	4.161225e+10	3.426876e+10
3.750000e+03	3.726715e+10	3.277083e+10
3.850000e+03	3.178351e+10	2.827983e+10
3.950000e+03	2.688325e+10	2.415979e+10
4.050000e+03	2.349204e+10	2.181948e+10
4.150000e+03	2.050021e+10	2.014553e+10
4.250000e+03	1.711904e+10	1.782408e+10
4.350000e+03	1.381281e+10	1.491020e+10
4.450000e+03	1.115484e+10	1.219207e+10
4.550000e+03	8.795874e+09	9.900331e+09
4.650000e+03	7.031148e+09	8.127327e+09
4.750000e+03	5.601751e+09	6.999863e+09
4.850000e+03	4.081204e+09	5.003548e+09
4.950000e+03	3.246602e+09	4.132835e+09
5.050000e+03	2.448778e+09	3.442470e+09
5.150000e+03	1.537866e+09	2.099173e+09
5.250000e+03	9.295582e+08	1.225624e+09
5.350000e+03	7.538390e+08	1.079460e+09
5.450000e+03	4.949119e+08	7.851851e+08
5.550000e+03	2.769068e+08	4.392851e+08
5.650000e+03	1.707617e+08	2.933820e+08
5.750000e+03	6.392525e+07	1.087680e+08
5.850000e+03	3.756498e+07	6.754123e+07
5.950000e+03	1.124764e+07	1.597232e+07
6.050000e+03	7.900736e+06	6.033242e+06
6.150000e+03	1.475653e+07	3.185761e+07
6.250000e+03	2.503472e+06	3.499484e+06
6.350000e+03	7.325112e+06	1.164500e+07
6.450000e+03	6.901566e+06	1.907180e+07
6.550000e+03	0.000000e+00	0.000000e+00
6.650000e+03	0.000000e+00	0.000000e+00
6.750000e+03	0.000000e+00	0.000000e+00
6.850000e+03	0.000000e+00	0.000000e+00
6.950000e+03	0.000000e+00	0.000000e+00
7.050000e+03	0.000000e+00	0.000000e+00
7.150000e+03	0.000000e+00	0.000000e+00
7.250000e+03	0.000000e+00	0.000000e+00
7.350000e+03	0.000000e+00	0.000000e+00
7.450000e+03	0.000000e+00	0.000000e+00
7.550000e+03	0.000000e+00	0.000000e+00
7.650000e+03	0.000000e+00	0.000000e+00
7.750000e+03	0.000000e+00	0.000000e+00
7.850000e+03	0.000000e+00	0.000000e+00
7.950000e+03	0.000000e+00	0.000000e+00
8.050000e+03	0.000000e+00	0.000000e+00
8.150000e+03	0.000000e+00	0.000000e+00
8.250000e+03	0.000000e+00	0.000000e+00
8.350000e+03	0.000000e+00	0.000000e+00
8.450000e+03	0.000000e+00	0.000000e+00
8.550000e+03	0.000000e+00	0.000000e+00
8.650000e+03	0.000000e+00	0.000000e+00
8.750000e+03	0.000000e+00	0.000000e+00
8.850000e+03	0.000000e+00	0.000000e+00
8.950000e+03	0.000000e+00	0.000000e+00
9.050000e+03	0.000000e+00	0.000000e+00
9.150000e+03	0.000000e+00	0.000000e+00
9.250000e+03	0.000000e+00	0.000000e+00
9.350000e+03	0.000000e+00	0.000000e+00
9.450000e+03	0.000000e+00	0.000000e+00
9.550000e+03	0.000000e+00	0.000000e+00
9.650000e+03	0.000000e+00	0.000000e+00
9.750000e+03	0.000000e+00	0.000000e+00
9.850000e+03	0.000000e+00	0.000000e+00
9.950000e+03	0.000000e+00	0.000000e+00
5.000000e+01	2.499776e+12	6.164532e+11
1.500000e+02	2.476214e+12	7.669257e+11
2.500000e+02	2.567509e+12	9.825303e+11
3.500000e+02	2.620023e+12	1.185804e+12
4.500000e+02	2.632711e+12	1.365146e+12
5.500000e+02	2.564532e+12	1.462861e+12
6.500000e+02	2.445957e+12	1.506182e+12
7.500000e+02	2.270756e+12	1.469404e+12
8.500000e+02	2.078859e+12	1.393640e+12
9.500000e+02	1.871255e+12	1.284708e+12
1.050000e+03	1.668184e+12	1.164787e+12
1.150000e+03	1.484505e+12	1.047641e+12
1.250000e+03	1.305072e+12	9.292906e+11
1.350000e+03	1.134797e+12	8.029033e+11
1.450000e+03	1.000261e+12	7.105531e+11
1.550000e+03	8.766000e+11	6.195236e+11
1.650000e+03	7.676746e+11	5.409392e+11
1.750000e+03	6.725948e+11	4.719908e+11
1.850000e+03	5.914902e+11	4.142710e+11
1.950000e+03	5.216459e+11	3.631079e+11
2.050000e+03	4.642985e+11	3.263784e+11
2.150000e+03	4.098748e+11	2.863283e+11
2.250000e+03	3.628715e+11	2.538385e+11
2.350000e+03	3.240642e+11	2.300428e+11
2.450000e+03	2.835377e+11	1.974815e+11
2.550000e+03	2.515939e+11	1.758267e+11
2.650000e+03	2.245092e+11	1.579730e+11
2.750000e+03	1.997734e+11	1.425343e+11
2.850000e+03	1.785701e+11	1.290748e+11
2.950000e+03	1.599854e+11	1.182096e+11
3.050000e+03	1.424304e+11	1.072875e+11
3.150000e+03	1.248100e+11	9.398387e+10
3.250000e+03	1.103618e+11	8.477914e+10
3.350000e+03	9.717312e+10	7.605814e+10
3.450000e+03	8.587771e+10	6.933504e+10
3.550000e+03	7.554642e+10	6.210708e+10
3.650000e+03	6.627269e+10	5.660901e+10
3.750000e+03	5.758706e+10	5.132062e+10
3.850000e+03	4.924622e+10	4.433955e+10
3.950000e+03	4.200436e+10	3.918597e+10
4.050000e+03	3.617565e+10	3.442624e+10
4.150000e+03	3.089227e+10	3.092616e+10
4.250000e+03	2.511877e+10	2.610569e+10
4.350000e+03	2.083164e+10	2.238188e+10
4.450000e+03	1.680922e+10	1.878850e+10
4.550000e+03	1.299391e+10	1.463259e+10
4.650000e+03	1.023737e+10	1.181502e+10
4.750000e+03	8.338135e+09	1.041205e+10
4.850000e+03	6.053002e+09	7.355232e+09
4.950000e+03	4.878372e+09	6.244766e+09
5.050000e+03	3.542747e+09	4.953472e+09
5.150000e+03	2.333208e+09	3.236883e+09
5.250000e+03	1.392330e+09	1.811061e+09
5.350000e+03	1.149055e+09	1.657904e+09
5.450000e+03	7.450160e+08	1.175908e+09
5.550000e+03	4.123266e+08	6.238718e+08
5.650000e+03	2.543194e+08	3.931013e+08
5.750000e+03	1.092685e+08	1.337496e+08
5.850000e+03	8.190342e+07	8.419157e+07
5.950000e+03	7.282407e+07	6.688396e+07
6.050000e+03	9.429873e+07	1.320491e+08
6.150000e+03	4.102223e+07	4.939427e+07
6.250000e+03	2.241962e+07	5.692426e+06
6.350000e+03	2.791954e+07	1.411900e+07
6.450000e+03	2.775347e+07	2.172710e+07
6.550000e+03	1.933955e+07	2.262072e+06
6.650000e+03	2.007372e+07	2.615255e+06
6.750000e+03	1.915186e+07	2.680090e+06
6.850000e+03	2.137928e+07	5.922966e+06
6.950000e+03	2.018609e+07	5.867141e+06
7.050000e+03	3.001309e+07	2.760031e+07
7.150000e+03	1.960763e+07	2.080954e+07
7.250000e+03	1.598611e+07	2.436680e+06
7.350000e+03	1.615970e+07	2.906239e+06
7.450000e+03	1.642691e+07	3.373572e+06
7.550000e+03	2.499265e+07	2.261781e+07
7.650000e+03	1.700515e+07	1.739810e+07
7.750000e+03	1.442048e+07	3.239807e+06
7.850000e+03	1.287795e+07	2.836394e+06
7.950000e+03	1.223602e+07	2.561058e+06
8.050000e+03	1.132295e+07	2.311545e+06
8.150000e+03	1.123986e+07	2.527629e+06
8.250000e+03	1.286945e+07	4.686595e+06
8.350000e+03	2.193032e+07	1.753682e+07
8.450000e+03	3.602921e+07	5.720997e+07
8.550000e+03	1.168618e+07	2.269932e+07
8.650000e+03	4.701268e+06	1.258671e+06
8.750000e+03	4.936687e+06	1.772361e+06
8.850000e+03	1.918547e+07	3.911387e+07
8.950000e+03	2.374534e+06	1.766538e+06
9.050000e+03	2.388374e+06	6.508241e+05
9.150000e+03	2.382255e+06	8.379274e+05
9.250000e+03	1.976373e+06	5.388790e+05
9.350000e+03	1.736031e+06	4.362592e+05
9.450000e+03	1.668577e+06	4.145183e+05
9.550000e+03	1.639085e+06	4.316360e+05
9.650000e+03	1.701930e+06	5.009427e+05
9.750000e+03	1.564747e+06	4.994759e+05
9.850000e+03	1.569096e+06	5.186024e+05
9.950000e+03	1.632395e+06	6.373802e+05
