% Depth (A)	I1 (cm^-3)	I2 (cm^-3)	...
2.650000e+03	3.254875e+19	2.262125e+19	
2.750000e+03	3.111500e+19	2.172375e+19	
2.850000e+03	3.065875e+19	2.109750e+19	
2.950000e+03	3.019500e+19	2.054625e+19	
3.050000e+03	2.679000e+19	1.869875e+19	
3.150000e+03	2.539625e+19	1.776375e+19	
3.250000e+03	2.422000e+19	1.687375e+19	
3.350000e+03	2.278250e+19	1.587625e+19	
3.450000e+03	2.001500e+19	1.405250e+19	
3.550000e+03	2.059500e+19	1.443500e+19	
3.650000e+03	1.910000e+19	1.311875e+19	
3.750000e+03	1.815625e+19	1.270375e+19	
3.850000e+03	1.602875e+19	1.098875e+19	
3.950000e+03	1.424125e+19	1.006125e+19	
4.050000e+03	1.279625e+19	8.860000e+18	
4.150000e+03	1.182625e+19	8.057500e+18	
4.250000e+03	9.565000e+18	6.643750e+18	
4.350000e+03	8.521250e+18	5.738750e+18	
4.450000e+03	6.676250e+18	4.678750e+18	
4.550000e+03	5.301250e+18	3.691250e+18	
4.650000e+03	4.875000e+18	3.368750e+18	
4.750000e+03	4.383750e+18	3.110000e+18	
4.850000e+03	3.365000e+18	2.310000e+18	
4.950000e+03	2.696250e+18	1.777500e+18	
5.050000e+03	2.400000e+18	1.608750e+18	
5.150000e+03	1.266250e+18	8.475000e+17	
5.250000e+03	8.050000e+17	5.175000e+17	
5.350000e+03	5.425000e+17	3.350000e+17	
5.450000e+03	4.387500e+17	2.812500e+17	
5.550000e+03	3.062500e+17	2.212500e+17	
5.650000e+03	3.000000e+17	2.025000e+17	
5.750000e+03	3.750000e+16	4.250000e+16	
5.850000e+03	3.750000e+16	1.625000e+16	
5.950000e+03	0.000000e+00	0.000000e+00	
6.050000e+03	0.000000e+00	0.000000e+00	
6.150000e+03	0.000000e+00	0.000000e+00	
6.250000e+03	0.000000e+00	0.000000e+00	
6.350000e+03	0.000000e+00	0.000000e+00	
6.450000e+03	0.000000e+00	0.000000e+00	
6.550000e+03	0.000000e+00	0.000000e+00	
6.650000e+03	0.000000e+00	0.000000e+00	
6.750000e+03	0.000000e+00	0.000000e+00	
6.850000e+03	0.000000e+00	0.000000e+00	
6.950000e+03	0.000000e+00	0.000000e+00	
7.050000e+03	0.000000e+00	0.000000e+00	
7.150000e+03	0.000000e+00	0.000000e+00	
7.250000e+03	0.000000e+00	0.000000e+00	
7.350000e+03	0.000000e+00	0.000000e+00	
7.450000e+03	0.000000e+00	0.000000e+00	
7.550000e+03	0.000000e+00	0.000000e+00	
7.650000e+03	0.000000e+00	0.000000e+00	
7.750000e+03	0.000000e+00	0.000000e+00	
7.850000e+03	0.000000e+00	0.000000e+00	
7.950000e+03	0.000000e+00	0.000000e+00	
8.050000e+03	0.000000e+00	0.000000e+00	
8.150000e+03	0.000000e+00	0.000000e+00	
8.250000e+03	0.000000e+00	0.000000e+00	
8.350000e+03	0.000000e+00	0.000000e+00	
8.450000e+03	0.000000e+00	0.000000e+00	
8.550000e+03	0.000000e+00	0.000000e+00	
8.650000e+03	0.000000e+00	0.000000e+00	
8.750000e+03	0.000000e+00	0.000000e+00	
8.850000e+03	0.000000e+00	0.000000e+00	
8.950000e+03	0.000000e+00	0.000000e+00	
9.050000e+03	0.000000e+00	0.000000e+00	
9.150000e+03	0.000000e+00	0.000000e+00	
9.250000e+03	0.000000e+00	0.000000e+00	
9.350000e+03	0.000000e+00	0.000000e+00	
9.450000e+03	0.000000e+00	0.000000e+00	
9.550000e+03	0.000000e+00	0.000000e+00	
9.650000e+03	0.000000e+00	0.000000e+00	
9.750000e+03	0.000000e+00	0.000000e+00	
9.850000e+03	0.000000e+00	0.000000e+00	
9.950000e+03	0.000000e+00	0.000000e+00	
5.000000e+01	2.229688e+20	1.585600e+20	
1.500000e+02	2.783388e+20	1.942938e+20	
2.500000e+02	3.507375e+20	2.428688e+20	
3.500000e+02	4.101425e+20	2.842688e+20	
4.500000e+02	4.656988e+20	3.206663e+20	
5.500000e+02	4.813150e+20	3.331100e+20	
6.500000e+02	4.771300e+20	3.292888e+20	
7.500000e+02	4.431313e+20	3.063763e+20	
8.500000e+02	4.053725e+20	2.787863e+20	
9.500000e+02	3.608125e+20	2.481300e+20	
1.050000e+03	3.283250e+20	2.266800e+20	
1.150000e+03	2.983638e+20	2.063600e+20	
1.250000e+03	2.693763e+20	1.857925e+20	
1.350000e+03	2.335563e+20	1.614350e+20	
1.450000e+03	2.176963e+20	1.501438e+20	
1.550000e+03	1.995500e+20	1.382863e+20	
1.650000e+03	1.845913e+20	1.274963e+20	
1.750000e+03	1.768638e+20	1.230988e+20	
1.850000e+03	1.588413e+20	1.096313e+20	
1.950000e+03	1.449088e+20	9.988250e+19	
