% Depth (A)	Conc. (cm-3)
9.850000e+03	0.000000e+00
9.950000e+03	0.000000e+00
5.000000e+01	6.250000e+16
1.500000e+02	1.650000e+17
2.500000e+02	3.450000e+17
3.500000e+02	5.925000e+17
4.500000e+02	9.562500e+17
5.500000e+02	1.226250e+18
6.500000e+02	1.481250e+18
7.500000e+02	1.467500e+18
8.500000e+02	1.425000e+18
9.500000e+02	1.382500e+18
1.050000e+03	1.302500e+18
1.150000e+03	1.201250e+18
1.250000e+03	1.125000e+18
1.350000e+03	9.425000e+17
1.450000e+03	9.187500e+17
1.550000e+03	9.112500e+17
1.650000e+03	8.225000e+17
1.750000e+03	7.912500e+17
1.850000e+03	6.950000e+17
1.950000e+03	6.875000e+17
2.050000e+03	7.087500e+17
2.150000e+03	6.237500e+17
2.250000e+03	6.687500e+17
2.350000e+03	6.787500e+17
2.450000e+03	5.750000e+17
2.550000e+03	5.750000e+17
2.650000e+03	5.550000e+17
2.750000e+03	5.025000e+17
2.850000e+03	4.987500e+17
2.950000e+03	4.700000e+17
3.050000e+03	4.550000e+17
3.150000e+03	4.200000e+17
3.250000e+03	4.275000e+17
3.350000e+03	4.075000e+17
3.450000e+03	3.762500e+17
3.550000e+03	3.700000e+17
3.650000e+03	3.587500e+17
3.750000e+03	3.400000e+17
3.850000e+03	3.187500e+17
3.950000e+03	2.850000e+17
4.050000e+03	2.562500e+17
4.150000e+03	2.462500e+17
4.250000e+03	2.300000e+17
4.350000e+03	2.012500e+17
4.450000e+03	1.762500e+17
4.550000e+03	1.525000e+17
4.650000e+03	1.212500e+17
4.750000e+03	1.200000e+17
4.850000e+03	8.500000e+16
4.950000e+03	8.000000e+16
5.050000e+03	7.000000e+16
5.150000e+03	4.000000e+16
5.250000e+03	2.875000e+16
5.350000e+03	2.125000e+16
5.450000e+03	2.000000e+16
5.550000e+03	1.375000e+16
5.650000e+03	6.250000e+15
5.750000e+03	2.500000e+15
5.850000e+03	1.250000e+15
5.950000e+03	1.250000e+15
6.050000e+03	0.000000e+00
6.150000e+03	1.250000e+15
6.250000e+03	0.000000e+00
6.350000e+03	0.000000e+00
6.450000e+03	1.250000e+15
6.550000e+03	0.000000e+00
6.650000e+03	0.000000e+00
6.750000e+03	0.000000e+00
6.850000e+03	0.000000e+00
6.950000e+03	0.000000e+00
7.050000e+03	0.000000e+00
7.150000e+03	0.000000e+00
7.250000e+03	0.000000e+00
7.350000e+03	0.000000e+00
7.450000e+03	0.000000e+00
7.550000e+03	0.000000e+00
7.650000e+03	0.000000e+00
7.750000e+03	0.000000e+00
7.850000e+03	0.000000e+00
7.950000e+03	0.000000e+00
8.050000e+03	0.000000e+00
8.150000e+03	0.000000e+00
8.250000e+03	0.000000e+00
8.350000e+03	0.000000e+00
8.450000e+03	0.000000e+00
8.550000e+03	0.000000e+00
8.650000e+03	0.000000e+00
8.750000e+03	0.000000e+00
8.850000e+03	0.000000e+00
8.950000e+03	0.000000e+00
9.050000e+03	0.000000e+00
9.150000e+03	0.000000e+00
9.250000e+03	0.000000e+00
9.350000e+03	0.000000e+00
9.450000e+03	0.000000e+00
9.550000e+03	0.000000e+00
9.650000e+03	0.000000e+00
9.750000e+03	0.000000e+00
9.850000e+03	0.000000e+00
9.950000e+03	0.000000e+00
5.000000e+01	2.262500e+17
1.500000e+02	6.462500e+17
2.500000e+02	1.267500e+18
3.500000e+02	2.198750e+18
4.500000e+02	3.371250e+18
5.500000e+02	4.485000e+18
6.500000e+02	5.396250e+18
7.500000e+02	5.917500e+18
8.500000e+02	6.140000e+18
9.500000e+02	5.952500e+18
1.050000e+03	5.855000e+18
1.150000e+03	5.487500e+18
1.250000e+03	5.003750e+18
1.350000e+03	4.450000e+18
1.450000e+03	4.166250e+18
1.550000e+03	3.767500e+18
1.650000e+03	3.301250e+18
1.750000e+03	2.852500e+18
1.850000e+03	2.628750e+18
1.950000e+03	2.377500e+18
2.050000e+03	2.220000e+18
2.150000e+03	1.942500e+18
2.250000e+03	1.823750e+18
2.350000e+03	1.708750e+18
2.450000e+03	1.436250e+18
2.550000e+03	1.315000e+18
2.650000e+03	1.240000e+18
2.750000e+03	1.115000e+18
2.850000e+03	1.072500e+18
2.950000e+03	9.837500e+17
3.050000e+03	9.687500e+17
3.150000e+03	8.012500e+17
3.250000e+03	8.075000e+17
3.350000e+03	7.037500e+17
3.450000e+03	6.637500e+17
3.550000e+03	6.362500e+17
3.650000e+03	6.075000e+17
3.750000e+03	5.600000e+17
3.850000e+03	5.087500e+17
3.950000e+03	4.737500e+17
4.050000e+03	4.212500e+17
4.150000e+03	3.650000e+17
4.250000e+03	3.662500e+17
4.350000e+03	3.112500e+17
4.450000e+03	2.837500e+17
4.550000e+03	2.287500e+17
4.650000e+03	1.812500e+17
4.750000e+03	1.887500e+17
4.850000e+03	1.250000e+17
4.950000e+03	1.125000e+17
5.050000e+03	1.050000e+17
5.150000e+03	6.625000e+16
5.250000e+03	4.125000e+16
5.350000e+03	3.000000e+16
5.450000e+03	3.375000e+16
5.550000e+03	1.500000e+16
5.650000e+03	1.000000e+16
5.750000e+03	3.750000e+15
5.850000e+03	1.250000e+15
5.950000e+03	1.250000e+15
6.050000e+03	3.750000e+15
6.150000e+03	1.250000e+15
6.250000e+03	0.000000e+00
6.350000e+03	0.000000e+00
6.450000e+03	1.250000e+15
6.550000e+03	0.000000e+00
6.650000e+03	0.000000e+00
6.750000e+03	0.000000e+00
6.850000e+03	0.000000e+00
6.950000e+03	0.000000e+00
7.050000e+03	0.000000e+00
7.150000e+03	1.250000e+15
7.250000e+03	0.000000e+00
7.350000e+03	0.000000e+00
7.450000e+03	0.000000e+00
7.550000e+03	0.000000e+00
7.650000e+03	1.250000e+15
7.750000e+03	0.000000e+00
7.850000e+03	0.000000e+00
7.950000e+03	0.000000e+00
8.050000e+03	0.000000e+00
8.150000e+03	0.000000e+00
8.250000e+03	0.000000e+00
8.350000e+03	0.000000e+00
8.450000e+03	1.250000e+15
8.550000e+03	1.250000e+15
8.650000e+03	0.000000e+00
8.750000e+03	0.000000e+00
8.850000e+03	1.250000e+15
8.950000e+03	0.000000e+00
9.050000e+03	0.000000e+00
9.150000e+03	0.000000e+00
9.250000e+03	0.000000e+00
9.350000e+03	0.000000e+00
9.450000e+03	0.000000e+00
9.550000e+03	0.000000e+00
9.650000e+03	0.000000e+00
9.750000e+03	0.000000e+00
9.850000e+03	0.000000e+00
9.950000e+03	0.000000e+00
